id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan
4121487,5659,1805/1 Boys Avenue,Blacktown,2148,NSW,-33.766815,150.909564,unit,,2,2,1,FALSE
2624405,10936,2/20 Tallawong Avenue,Blacktown,2148,NSW,-33.776417,150.8843,unit,,2,2,2,TRUE
2933247,33627,30/1-3 Kleins Road,Northmead,2152,NSW,-33.79431,150.9956,unit,,2,2,1,TRUE
51119,36445,67/8-18 Briens Road,Northmead,2152,NSW,-33.792717,150.99675,unit,,2,2,1,TRUE
1695987,40189,29/459-463 Church Street,Parramatta,2150,NSW,-33.804096,151.00548,unit,,2,2,1,TRUE
216227,43622,26 Australorp Avenue,Seven Hills,2147,NSW,-33.782587,150.929551,house,450,1,1,1,TRUE
4060929,45824,7 Marampo Street,Marayong,2148,NSW,-33.7455,150.88489,house,,1,1,3,FALSE
4071100,51838,78 Hassall Street,Parramatta,2150,NSW,-33.818424,151.0168,house,594,1,1,1,TRUE
68378,75889,26 Dan Avenue,Blacktown,2148,NSW,-33.76273,150.89552,house,625,5,2,4,TRUE
890748,82641,108A Douglas Road,Blacktown,2148,NSW,-33.781316,150.880683,house,,2,2,1,FALSE
3932768,82943,22 Larra Crescent,North Rocks,2151,NSW,-33.761289,151.012126,house,,3,3,2,TRUE
2488829,86467,71A/177A Reservoir Rd,Blacktown,2148,NSW,-33.797414,150.899928,unit,,2,2,2,TRUE
2087944,101904,11/3 Stewart Street,Parramatta,2150,NSW,-33.813204,151.010946,unit,,1,1,1,TRUE
128517,103348,9/4-6 JUNIA AVENUE,Toongabbie,2146,NSW,-33.786668,150.949504,unit,,2,2,1,TRUE
701317,105601,401/330 Church Street,Parramatta,2150,NSW,-33.811546,151.0049,unit,,2,2,1,TRUE
4073480,125368,25 North Rocks Road,North Rocks,2151,NSW,-33.790549,150.999181,unit,,2,2,2,FALSE
4089604,135901,3/51 Fennell Street,North Parramatta,2151,NSW,-33.806448,151.008993,unit,,1,1,1,TRUE
4060223,184174,5 Eta Street,Blacktown,2148,NSW,-33.778847,150.89609,house,550,1,1,2,TRUE
3155491,187457,29 Allambie Avenue,Northmead,2152,NSW,-33.785951,150.989849,house,923,1,1,0,TRUE
1296009,191638,9/240-242 Targo Road,Toongabbie,2146,NSW,-33.789715,150.9503,unit,,1,1,1,TRUE
4088701,191944,7/80-82 Metella Road,Toongabbie,2146,NSW,-33.792107,150.93995,unit,179,2,2,1,FALSE
3019554,198655,6 Eather Avenue,North Rocks,2151,NSW,-33.762173,151.013036,house,843,3,3,6,TRUE
848353,214398,16/26 Mantaka Street,Blacktown,2148,NSW,-33.773676,150.917647,unit,,1,1,1,TRUE
2564548,224527,19 Botany Boulevard,Seven Hills,2147,NSW,-33.758825,150.944432,house,551,3,3,3,TRUE
2270925,237072,7/12 Murray Street,Northmead,2152,NSW,-33.787676,150.995682,unit,,2,2,2,TRUE
4145982,264655,5 Eltham Street,Blacktown,2148,NSW,-33.791103,150.91493,house,569,1,1,2,TRUE
2296193,279004,3 Charles Street,Blacktown,2148,NSW,-33.753188,150.917538,house,550,1,1,1,TRUE
