id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan
4121487,5659,1805/1 Boys Avenue,Blacktown,2148,NSW,-33.766815,150.909564,unit,,2,2,1,false
2624405,10936,2/20 Tallawong Avenue,Blacktown,2148,NSW,-33.776417,150.884300,unit,,2,2,2,true
4060929,45824,7 Marampo Street,Marayong,2148,NSW,-33.745500,150.884890,house,,1,1,3,false
68378,75889,26 Dan Avenue,Blacktown,2148,NSW,-33.762730,150.895520,house,625,5,2,4,true
890748,82641,108A Douglas Road,Blacktown,2148,NSW,-33.781316,150.880683,house,,2,2,1,false
2488829,86467,71A/177A Reservoir Rd,Blacktown,2148,NSW,-33.797414,150.899928,unit,,2,2,2,true
4060223,184174,5 Eta Street,Blacktown,2148,NSW,-33.778847,150.896090,house,550,1,1,2,true
848353,214398,16/26 Mantaka Street,Blacktown,2148,NSW,-33.773676,150.917647,unit,,1,1,1,true
4145982,264655,5 Eltham Street,Blacktown,2148,NSW,-33.791103,150.914930,house,569,1,1,2,true
2296193,279004,3 Charles Street,Blacktown,2148,NSW,-33.753188,150.917538,house,550,1,1,1,true
68275,308961,34 Bellevue Street,Blacktown,2148,NSW,-33.779819,150.891554,house,581,1,1,1,true
124434,310346,69 Breakfast Road,Marayong,2148,NSW,-33.751150,150.888151,house,600,1,1,4,true
4118717,315387,17 Dan Avenue,Blacktown,2148,NSW,-33.761170,150.896600,house,,1,1,2,true
2957821,368358,11/36 Allawah Street,Blacktown,2148,NSW,-33.771038,150.900764,unit,,2,2,2,false
1618273,374940,25 Panorama Parade,Blacktown,2148,NSW,-33.777304,150.914812,house,569,1,1,1,true
3751868,408344,4 Belrose Place,Prospect,2148,NSW,-33.797180,150.924800,house,670,3,3,2,true
1745505,433140,11 Bedford Road,Blacktown,2148,NSW,-33.758614,150.917947,house,676,1,1,1,true
591707,466822,2 Vincent Street,Blacktown,2148,NSW,-33.778378,150.895488,house,,2,2,1,true
464282,528541,5 Hillside Road,Blacktown,2148,NSW,-33.778624,150.894018,house,556,1,1,1,true
68278,543214,42 Buckley Avenue,Blacktown,2148,NSW,-33.757837,150.900943,house,,1,1,1,true
2930410,562157,65/130 Reservoir Rd,Blacktown,2148,NSW,-33.788320,150.897420,unit,,1,1,2,true
4108692,562636,5 Maureen Place,Blacktown,2148,NSW,-33.776108,150.893970,house,632,2,2,1,true
497572,575667,18a Osborne Road,Marayong,2148,NSW,-33.754638,150.894748,house,563,1,1,1,false
68413,580178,16 Nerada Street,Blacktown,2148,NSW,-33.773244,150.897107,house,632,1,1,1,true
68494,599118,48/5 Griffiths Street,Blacktown,2148,NSW,-33.773684,150.916179,unit,,1,1,1,true
68332,615515,17 Savery Crescent,Blacktown,2148,NSW,-33.787098,150.897670,house,556,2,2,3,false
1970916,630769,1 Charles Street,Blacktown,2148,NSW,-33.753324,150.917515,house,544,1,1,1,true
2636905,675031,7 Oulton Street,Prospect,2148,NSW,-33.793224,150.909530,house,,3,3,3,false
2810934,707562,20 Sylvia Street,Blacktown,2148,NSW,-33.773796,150.885330,house,,1,1,2,true
3269335,731162,17 Shephard Street,Marayong,2148,NSW,-33.749328,150.899487,house,619,1,1,2,false
68287,746907,804/1 Boys Avenue,Blacktown,2148,NSW,-33.766815,150.909539,unit,,1,1,1,true
570936,797572,25-27 Fourth Ave,Blacktown,2148,NSW,-33.763850,150.910260,unit,,1,1,1,false
754099,805520,24 Kurrajong Crescent,Blacktown,2148,NSW,-33.789187,150.901103,house,556,2,2,1,true
68362,827717,73/5 Griffiths Street,Blacktown,2148,NSW,-33.773684,150.916179,unit,,1,1,1,true
2819850,842983,263 Madagascar  drive,Kings Park,2148,NSW,-33.743270,150.915160,house,558,2,2,3,true
4108690,855367,4 Iona Street,Blacktown,2148,NSW,-33.773229,150.890288,house,607,1,1,0,true
68324,885813,29 Highlands Crescent,Blacktown,2148,NSW,-33.774377,150.892885,house,556,1,1,2,true
2088604,898285,36/177 Reservoir Road,Blacktown,2148,NSW,-33.796900,150.898580,unit,,1,1,1,false
124439,921855,33 Terrigal Street,Marayong,2148,NSW,-33.748276,150.886273,house,558,1,1,2,true
68400,955444,66 Kildare Road,Blacktown,2148,NSW,-33.769135,150.901140,house,1442,2,2,1,false
4160877,990070,64 Swinson Road,Blacktown,2148,NSW,-33.779293,150.906400,house,708,2,2,3,true
2706506,1018419,27 St Pauls Way,Blacktown,2148,NSW,-33.783760,150.892000,unit,227,1,1,1,true
4072498,1054067,50 Kastelan Street,Blacktown,2148,NSW,-33.777720,150.888150,house,547,1,1,1,true
68279,1069468,7 Caldwell Place,Blacktown,2148,NSW,-33.777860,150.912920,house,,3,3,4,false
68433,1152025,7/13-19 Devitt Street,Blacktown,2148,NSW,-33.770924,150.915010,unit,,1,1,1,false
1908515,1183105,51/130 Main Street,Blacktown,2148,NSW,-33.771909,150.911003,unit,,2,2,1,true
4061318,1183246,3/36 Lloyd Street,Blacktown,2148,NSW,-33.777700,150.883900,unit,,2,2,2,false
222477,1198129,1 Belrose Place,Prospect,2148,NSW,-33.797513,150.925144,house,762,2,2,2,true
4061319,1235642,Fairwater Boulevard,Blacktown,2148,NSW,-33.760563,150.901950,unknown,,0,0,0,false
1828727,1242582,3 Alam Street,Blacktown,2148,NSW,-33.760920,150.896070,house,,3,3,1,true
68376,1255564,305/1 Griffiths Street,Blacktown,2148,NSW,-33.773622,150.915568,unit,,1,1,1,true
68349,1276393,4 Prospect Street,Blacktown,2148,NSW,-33.779274,150.895726,house,556,1,1,4,true
4162826,1288320,9 Lyte Place,Prospect,2148,NSW,-33.796642,150.916120,house,604,2,2,2,true
1032916,1346246,24/2 Bruce Street,Blacktown,2148,NSW,-33.770127,150.916067,unit,,1,1,1,false
2872414,1353201,22 Merlin Street,Blacktown,2148,NSW,-33.787216,150.907245,house,581,1,1,2,true
4088407,1356947,10 Fursorb Street,Marayong,2148,NSW,-33.750874,150.895034,house,556,2,2,3,true
1850470,1365434,63 Nairana Drive,Marayong,2148,NSW,-33.743826,150.893941,house,,3,3,2,true
4159020,1389242,7 Marcus Street,Kings Park,2148,NSW,-33.739098,150.903760,house,576,2,2,1,true
2920698,1393123,16 Old Church Lane,Prospect,2148,NSW,-33.795115,150.920123,house,548,2,2,2,true
3847699,1408082,6/8E Myrtle Street,Prospect,2148,NSW,-33.796040,150.905930,house,,2,2,2,false
4149916,1433061,128 Madagascar Drive,Kings Park,2148,NSW,-33.737620,150.907550,house,557,1,1,1,false
4106284,1440179,1 Boys Avenue,Blacktown,2148,NSW,-33.766815,150.909560,unknown,,0,0,0,false
4123392,1461493,74/5 Griffiths Street,Blacktown,2148,NSW,-33.773685,150.916180,unit,,1,1,1,false
3465530,1490333,40 Newton Road,Blacktown,2148,NSW,-33.773234,150.903091,house,730,1,1,2,false
