,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
0,2624405,10936,2/20 Tallawong Avenue,Blacktown,2148,NSW,-33.776416999999995,150.8843,unit,,2,2,2,True,0,3,2,1,0, , , , , , , ,https://p360images.realestateview.com.au/default/2-20-tallawong-avenue-blacktown-nsw-2148-xl,"This is a unit in Blacktown with 3 bedrooms and 2 bathrooms. Its postcode is 2148. Our records show that this was last sold in 2017 for $540,000. ",2/20,Tallawong,Avenue
1,2933247,33627,30/1-3 Kleins Road,Northmead,2152,NSW,-33.794309999999996,150.9956,unit,,2,2,1,True,1,3,2,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/MtqPshSBSpA8D8sDLFcEUOeU2zv44HnpSEMwOqi28DY1/30-1-3-kleins-road-northmead-nsw-2152_img0.jpg,"This is a unit in Northmead with 3 bedrooms and 2 bathrooms. Its postcode is 2152. The last time this property sold was in December 2013 for $477,000. ",30/1-3,Kleins,Road
2,51119,36445,67/8-18 Briens Road,Northmead,2152,NSW,-33.792716999999996,150.99675,unit,,2,2,1,True,2,2,2,1,0, , ,Private Sale            , ,Dec 2009            , ,"$365,000            ",https://p360images.realestateview.com.au/default/67-8-18-briens-road-northmead-nsw-2152-xl,"This is a unit in Northmead, 2152 with 2 bedrooms and 2 bathrooms. In December 2009 it sold for $365,000. ",67/8-18,Briens,Road
3,1695987,40189,29/459-463 Church Street,Parramatta,2150,NSW,-33.804096,151.00548,unit,,2,2,1,True,3,0,0,0,0, ,Private Sale            , ,Apr 2012            , ,"$450,000            ", ,https://p360images.realestateview.com.au/default/29-459-463-church-street-parramatta-nsw-2150-xl,"This is a unit in Parramatta, 2150 with 2 bedrooms and 2 bathrooms. Last time it sold, it went for $450,000, which was in 2012. ",29/459-463,Church,Street
4,216227,43622,26 Australorp Avenue,Seven Hills,2147,NSW,-33.782587,150.929551,house,450.0,1,1,1,True,4,3,1,1,449,"$670,000",Private Sale            ,Private Sale            ,May 1996            ,Jun 1992            ,"$159,000            ","$152,500            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/zm1OcWwlm4hw1XjdZWS5HDGft2Y9SXRN905RO2qw0sk1/26-australorp-avenue-seven-hills-nsw-2147_img0.jpg,"26 Australorp Avenue is a house in Seven Hills with 3 bedrooms and 1 bathroom. Its postcode is 2147. Its land area is 449 square metres. In May 1996 this property sold for $159,000. ",26,Australorp,Avenue
5,4060929,45824,7 Marampo Street,Marayong,2148,NSW,-33.7455,150.88488999999998,house,,1,1,3,False,5,3,1,3,552,"$572,333",Auction            , ,Jun 2009            , ,"$350,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/ZfCKkRegPTf-OpH5x3tl1I72uSrcciE-D0Sf4lD3KbM1/7-marampo-street-marayong-nsw-2148_img0.jpg,"7 Marampo Street is a house in Marayong with 3 bedrooms and 1 bathroom. Its postcode is 2148. This property is on a 552 square metre block of land. Our records show that this was last sold in 2009 for $350,000. ",7,Marampo,Street
6,4071100,51838,78 Hassall Street,Parramatta,2150,NSW,-33.818424,151.0168,house,594.0,1,1,1,True,6,3,1,1,594, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/NLhOdGMz9aRN8rLHUvfJbmrIISZuArQjIIBNagJMB-M1/78-hassall-street-parramatta-nsw-2150_img0.jpg,"78 Hassall Street, Parramatta 2150 NSW is a house with 3 bedrooms and 1 bathroom. The size of this block is 588 square metres. This house previously sold for $250,000 in July 2005. ",78,Hassall,Street
7,68378,75889,26 Dan Avenue,Blacktown,2148,NSW,-33.76273,150.89552,house,625.0,5,2,4,True,7,5,2,4,625,"$808,333",Private Sale            ,Private Sale            ,May 2009            ,Mar 2001            ,"$160,000            ","$210,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jQVEpuTfZNl14fR4QPxNi3GJln6U-yhDZzMtpZm5ZAo1/26-dan-avenue-blacktown-nsw-2148_img0.jpg,"26 Dan Avenue is a house in Blacktown with 5 bedrooms and 2 bathrooms. Its postcode is 2148. This property is on a 625 square metre block of land. In May 2009 this sold for $160,000. ",26,Dan,Avenue
8,890748,82641,108A Douglas Road,Blacktown,2148,NSW,-33.781316,150.880683,house,,2,2,1,False,8,0,0,0,449, ,Private Sale            ,Private Sale            ,May 2003            ,Sep 1999            ,"$310,000            ","$219,950            ",https://p360images.realestateview.com.au/default/108a-douglas-road-blacktown-nsw-2148-xl,"This is a house in Blacktown with 4 bedrooms and 2 bathrooms. Its postcode is 2148. The size of this block is 449 square metres. Last time it sold was for $310,000, which was in May 2003. ",108A,Douglas,Road
9,3932768,82943,22 Larra Crescent,North Rocks,2151,NSW,-33.761289,151.012126,house,,3,3,2,True,9,4,3,2,764,"$1,055,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/DtM11z8DZeXhX-ORw8C709Wy8SpcbtO-xyKYXioyZuM1/22-larra-crescent-north-rocks-nsw-2151_img0.jpg,"22 Larra Crescent, North Rocks 2151 NSW is a house. It has 4 bedrooms and 3 bathrooms. The land area of this property is 764 square metres. ",22,Larra,Crescent
10,2488829,86467,71A/177A Reservoir Rd,Blacktown,2148,NSW,-33.797414,150.89992800000002,unit,,2,2,2,True,10,3,2,2,0, , ,Private Sale            , ,Aug 2015            , ,"$490,000            ",https://p360images.realestateview.com.au/default/71a-177a-reservoir-road-blacktown-nsw-2148-xl,"71A/177A Reservoir Road, Blacktown 2148 NSW is a unit with 3 bedrooms and 2 bathrooms. It was last sold in August 2015 for $490,000. ",71A/177A,Reservoir,Road
11,2087944,101904,11/3 Stewart Street,Parramatta,2150,NSW,-33.813204,151.010946,unit,,1,1,1,True,11,2,1,1,0,"$545,000", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/RlROfmDGMfjWmzlssyo6lM6bfUdGYgdco92AGgq1VsA1/11-3-stewart-street-parramatta-nsw-2150_img1.jpg,"11/3 Stewart Street, Parramatta 2150 NSW is a unit. This property has 2 bedrooms and 1 bathroom. ",11/3,Stewart,Street
12,128517,103348,9/4-6 JUNIA AVENUE,Toongabbie,2146,NSW,-33.786668,150.949504,unit,,2,2,1,True,12,0,0,0,0, , , , , , , ,https://p360images.realestateview.com.au/default/9-4-6-junia-avenue-toongabbie-nsw-2146-xl,This is a unit in Toongabbie with 2 bedrooms and 2 bathrooms. Its postcode is 2146. ,9/4-6,JUNIA,Avenue
