,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
0,3311627,48,16 Fromelles Avenue,Seaforth,2092,NSW,-33.790772,151.243099,house,638.0,2,2,2,True,0,4,2,2,629, ,Auction            ,Auction            ,Nov 2018            ,Nov 2011            ,"$1,230,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/AlJwGyAC9Qio27VNi4Ne_RMM7yaueXi5VjEDOkZa7Zw1/16-fromelles-avenue-seaforth-nsw-2092_img0.jpg,"This is a house in Seaforth with 4 bedrooms and 2 bathrooms. Its postcode is 2092. The land area of this property is 629 sqm. It last sold in 2018 for $1,800,000. ",16,Fromelles,Avenue
1,180288,69,5/22 Lake Street,Laurieton,2443,NSW,-31.649098,152.79774,unit,,1,1,1,True,1,2,1,1,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/rtjaioVIR03QjBb6H6CHH9SxBUM_ObyPIv0lv5AMkEI1/5-22-lake-street-laurieton-nsw-2443_img0.jpg,"5/22 Lake Street, Laurieton 2443 NSW is a unit with 2 bedrooms and 1 bathroom. The last time this property sold was in 2017 for $285,000. ",5/22,Lake,Street
2,3781700,167,272 Sneaths Road,Wollongbar,2477,NSW,-28.806831,153.4284,other,49776.0,2,2,6,False,2,4,2,6,0, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/-N-WdncMOV-QKoKhD3AVmbttkoERUxkeil9Jjg0rMeM1/272-sneaths-road-wollongbar-nsw-2477_img0.jpg,The block size is 50103 sqm. ,272,Sneaths,Road
3,2801289,174,43 Skyline Drive,Tweed Heads West,2485,NSW,-28.191665000000004,153.49346599999998,house,847.0,2,2,2,True,3,3,2,2,847, ,Private Sale            ,Private Sale            ,Nov 2018            ,Mar 2014            ,"$575,000            ","$462,500            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/OzANnpZZN-Pi3AGGYEU_v3oCunSWJeP5ZPhF7sJ3QH41/43-skyline-drive-tweed-heads-west-nsw-2485_img0.jpg,"43 Skyline Drive, Tweed Heads West 2485 NSW is a house. It has 3 bedrooms and 2 bathrooms. The block size of this property is 847 sqm. The last sold price we have on record for this property is $575,000 which is from November 2018. ",43,Skyline,Drive
4,1314561,227,23 Ilya Avenue,Bayview,2104,NSW,-33.656864,151.28712,house,,5,5,4,True,4,5,5,4,4421, , , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/PL2NYcA2kfiY1QC1le3cCzs8u5uxM6n_IDlGgjztMlY1/23-ilya-avenue-bayview-nsw-2104_img0.jpg,"This is a house in Bayview, 2104 with 5 bedrooms and 5 bathrooms. The size of this block is 4421 square metres. It last sold for $1,510,000 in May 1999. ",23,Ilya,Avenue
5,1329371,243,37 Clackmannan Road,Winston Hills,2153,NSW,-33.781088000000004,150.983784,house,,2,2,2,True,5,0,0,0,0,"$820,000", , , , , , ,https://p360images.realestateview.com.au/default/37-clackmannan-road-winston-hills-nsw-2153-xl,Its block size is 584 sqm. ,37,Clackmannan,Road
6,2655109,256,52 Donald Avenue,Umina Beach,2257,NSW,-33.509932,151.321767,house,784.0,2,2,2,True,6,4,2,2,796, ,Private Sale            ,Private Sale            ,Oct 2018            ,Dec 2007            ,"$840,000            ","$465,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/quiGWHgowvm60u76MkHgyUmjzpxym2AFoLCalqZ0f501/52-donald-avenue-umina-beach-nsw-2257_img0.jpg,"52 Donald Avenue is a house in Umina Beach with 4 bedrooms and 2 bathrooms. Its postcode is 2257. Its block size is 796 square metres. According to our data, this was last sold for $465,000 in December 2007. ",52,Donald,Avenue
7,734103,384,5 Wentworth Pl,Wentworth Point,2127,NSW,-33.825443,151.07766999999998,unit,,1,1,1,False,7,0,0,0,0, , , , , , , ,https://p360images.realestateview.com.au/default/5-wentworth-place-wentworth-point-nsw-2127-xl,"5 Wentworth Place, Wentworth Point 2127 NSW is a unit with 1 bedroom and 1 bathroom. ",5,Wentworth,Place
8,4083172,406,37 Benjamin Circle,Rutherford,2320,NSW,-32.704646999999994,151.519648,house,,1,1,2,False,8,3,1,2,685,"$363,833",Private Sale            , ,Jun 2018            , ,"$407,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/lUNNRgionuUPAM2fsf_lyDuKDVTQ9MOe3sGwpNuD6UI1/37-benjamin-circle-rutherford-nsw-2320_img0.jpg,"37 Benjamin Circle, Rutherford 2320 NSW is a house. It has 3 bedrooms and 1 bathroom. The size of this block is 685 sqm. Last time it sold, it went for $407,000, which was in 2018. ",37,Benjamin,Circle
9,576143,596,6/10-11 Devonport Street,Wakeley,2176,NSW,-33.878485999999995,150.906523,unit,,1,1,1,True,9,3,1,1,0, ,Private Sale            , ,Jul 2012            , ,"$375,000            ", ,https://p360images.realestateview.com.au/default/6-10-11-devonport-street-wakeley-nsw-2176-xl,"6/10-11 Devonport Street is a unit in Wakeley with 3 bedrooms and 1 bathroom. Its postcode is 2176. In July 2012 it sold for $375,000. ",6/10-11,Devonport,Street
10,2958398,719,1809/10 Atchison Street,St Leonards,2065,NSW,-33.822662,151.19629,unit,,1,1,0,True,10,0,0,0,0,"$2,236,667", , , , , , ,https://p360images.realestateview.com.au/default/1809-10-atchison-street-st-leonards-nsw-2065-xl,"1809/10 Atchison Street, St Leonards 2065 NSW is a unit. This property has 1 bedroom and 1 bathroom. ",1809/10,Atchison,Street
11,647165,741,26 Kansas Drive,Tolland,2650,NSW,-35.147892999999996,147.359723,house,908.0,2,2,2,True,11,4,2,2,908,"$538,333",Private Sale            ,Private Sale            ,Dec 2013            ,Apr 2009            ,"$518,000            ","$546,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/rf9YxQtHTE_JXTREHhGaDyL4xrXZL4c8GHPfv2BIqP01/26-kansas-drive-tolland-nsw-2650_img0.jpg,"This is a house in Tolland with 4 bedrooms and 2 bathrooms. Its postcode is 2650. The block size is 908 square metres. In December 2013 this address sold for $518,000. ",26,Kansas,Drive
12,1194974,744,206/7-9 Cliff Road,Epping,2121,NSW,-33.770872999999995,151.078093,unit,,2,2,1,True,12,0,0,0,0,"$2,368,333", , , , , , ,https://p360images.realestateview.com.au/default/206-7-9-cliff-road-epping-nsw-2121-xl,206/7-9 Cliff Road is a unit in Epping with 2 bedrooms and 2 bathrooms. Its postcode is 2121. ,206/7-9,Cliff,Road
13,4132078,859,36 Empire Circuit,Penrith,2750,NSW,-33.74525,150.69843999999998,house,375.0,2,2,2,False,13,4,2,2,375,"$731,667", , , , , , ,https://p360images.realestateview.com.au/default/36-empire-circuit-penrith-nsw-2750-xl,The size of this block is 375 square metres. ,36,Empire,Circuit
14,3729066,872,24 Osprey Crescent,East Maitland,2323,NSW,-32.769146,151.577341,house,600.0,2,2,2,True,14,4,2,2,602,"$537,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/O-Sl8Q8Hpbc4TvDiK-pE1LkkXpStTLDskiQH7JVyWBo1/24-osprey-crescent-east-maitland-nsw-2323_img0.jpg,"24 Osprey Crescent is a house in East Maitland with 4 bedrooms and 2 bathrooms. Its postcode is 2323. Its land area is 602 square metres. In May 2011 this sold for $186,000. ",24,Osprey,Crescent
15,3781409,877,5 Thornett Place,Dubbo,2830,NSW,-32.234997,148.64217,house,,2,2,2,False,15,4,2,2,748,"$376,000", , , , , , ,https://p360images.realestateview.com.au/default/5-thornett-place-dubbo-nsw-2830-xl,"This is a house in Dubbo, 2830 with 4 bedrooms and 2 bathrooms. Its land area is 748 sqm. According to our data, this was last sold for $339,000 in February 2011. ",5,Thornett,Place
16,3034847,890,42 Jobsons Lane,Mitchells Island,2430,NSW,-31.89875,152.62796,house,,3,3,2,False,16,4,3,2,91616, ,Private Sale            , ,Dec 2002            , ,"$330,000            ", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/vYJ1W1QeYaGPtJmkhuzLmof1pZ-n1qhQKJ8_PR9no7Y1/42-jobsons-lane-mitchells-island-nsw-2430_img0.jpg,"42 Jobsons Lane, Mitchells Island 2430 NSW is a house with 4 bedrooms and 3 bathrooms. The block size is 91616 square metres. When it last sold in 2002, it went for $330,000. ",42,Jobsons,Lane
17,573483,932,88 Newland Street,Bondi Junction,2022,NSW,-33.894331,151.24714699999998,house,,1,1,0,True,17,2,1,0,112, ,Auction            ,Auction            ,Aug 2018            ,Mar 2000            ,"$1,350,000            ","$415,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/QDVTA3qiwFwF3ucAdpwKn5CEd6bqpnKdY5094KKXBhU1/88-newland-street-bondi-junction-nsw-2022_img0.jpg,"88 Newland Street, Bondi Junction 2022 NSW is a house. It has 2 bedrooms and 1 bathroom. The size of this block is 112 square metres. This last sold for $1,350,000 in August 2018. ",88,Newland,Street
18,3761411,1148,363 Cobbitty Road,Cobbitty,2570,NSW,-34.015617,150.69146999999998,house,1303.0,2,2,4,True,18,4,2,4,1302, ,Auction            ,Private Sale            ,Oct 2017            ,Jun 2013            ,"$1,080,000            ","$680,000            ",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/8SPkAi9525E8HWEC-9K_ZTnNxSxjlmuJ_u4zfJ6Bo001/363-cobbitty-road-cobbitty-nsw-2570_img0.jpg,"363 Cobbitty Road, Cobbitty 2570 NSW is a house with a tile roof and 4 bedrooms and 2 bathrooms. This is on a 1302 square metre block of land. Last time it sold, it went for $1,080,000, which was in 2017. ",363,Cobbitty,Road
