,ID,Street_Name
0,4121487,1805-1-boys-avenue-Blacktown-NSW-2148
1,2624405,2-20-tallawong-avenue-Blacktown-NSW-2148
2,2933247,30-1-3-kleins-road-Northmead-NSW-2152
3,51119,67-8-18-briens-road-Northmead-NSW-2152
4,1695987,29-459-463-church-street-Parramatta-NSW-2150
5,216227,26-australorp-avenue-Seven-Hills-NSW-2147
6,4060929,7-marampo-street-Marayong-NSW-2148
7,4071100,78-hassall-street-Parramatta-NSW-2150
8,68378,26-dan-avenue-Blacktown-NSW-2148
9,890748,108a-douglas-road-Blacktown-NSW-2148
10,3932768,22-larra-crescent-North-Rocks-NSW-2151
11,2488829,71a-177a-reservoir-road-Blacktown-NSW-2148
12,2087944,11-3-stewart-street-Parramatta-NSW-2150
13,128517,9-4-6-junia-avenue-Toongabbie-NSW-2146
14,701317,401-330-church-street-Parramatta-NSW-2150
15,4073480,25-north-rocks-road-North-Rocks-NSW-2151
16,4089604,3-51-fennell-street-North-Parramatta-NSW-2151
17,4060223,5-eta-street-Blacktown-NSW-2148
18,3155491,29-allambie-avenue-Northmead-NSW-2152
19,1296009,9-240-242-targo-road-Toongabbie-NSW-2146
20,4088701,7-80-82-metella-road-Toongabbie-NSW-2146
21,3019554,6-eather-avenue-North-Rocks-NSW-2151
22,848353,16-26-mantaka-street-Blacktown-NSW-2148
23,2564548,19-botany-boulevard-Seven-Hills-NSW-2147
24,2270925,7-12-murray-street-Northmead-NSW-2152
25,4145982,5-eltham-street-Blacktown-NSW-2148
26,2296193,3-charles-street-Blacktown-NSW-2148
27,214301,18-macdonald-avenue-Lalor-Park-NSW-2147
28,216220,7-7-oldfield-road-Seven-Hills-NSW-2147
29,193743,2-6-william-street-North-Parramatta-NSW-2151
30,68275,34-bellevue-street-Blacktown-NSW-2148
31,124434,69-breakfast-road-Marayong-NSW-2148
32,223853,1602-29-hunter-street-Parramatta-NSW-2150
33,4118717,17-dan-avenue-Blacktown-NSW-2148
34,2771494,30-melba-road-Lalor-Park-NSW-2147
35,223974,54-58--macarthur-street-Parramatta-NSW-2150
36,223942,178-109-113-george-street-Parramatta-NSW-2150
37,4121046,4-14-harris-street-Harris-Park-NSW-2150
38,2957821,11-36-allawah-street-Blacktown-NSW-2148
39,1618273,25-panorama-parade-Blacktown-NSW-2148
40,37143,11a-regal-avenue-Kings-Langley-NSW-2147
41,3751868,4-belrose-place-Prospect-NSW-2148
42,3577671,14-16a-wigram-street-Harris-Park-NSW-2150
43,3187503,6-16a-wigram-street-Harris-Park-NSW-2150
44,1745505,11-bedford-road-Blacktown-NSW-2148
45,1389691,68-whitby-road-Kings-Langley-NSW-2147
46,1551564,17-marcia-street-Toongabbie-NSW-2146
47,486464,2-lennox-street-Old-Toongabbie-NSW-2146
48,3108081,28-24-campbell-street-Parramatta-NSW-2150
49,2136696,4-premier-street-Toongabbie-NSW-2146
50,591707,2-vincent-street-Blacktown-NSW-2148
51,4061633,23-lawson-street-Lalor-Park-NSW-2147
52,2025186,87-lucas-road-Lalor-Park-NSW-2147
53,2483693,19-34-alice-street-Harris-Park-NSW-2150
54,223758,36-68-macarthur-street-Parramatta-NSW-2150
55,464282,5-hillside-road-Blacktown-NSW-2148
56,4174250,91-toongabbie-road-Toongabbie-NSW-2146
57,68278,42-buckley-avenue-Blacktown-NSW-2148
58,2930410,65-130-reservoir-road-Blacktown-NSW-2148
59,4108692,5-maureen-place-Blacktown-NSW-2148
60,343206,19-245-247-targo-road-Toongabbie-NSW-2146
61,497572,18a-osborne-road-Marayong-NSW-2148
62,68413,16-nerada-street-Blacktown-NSW-2148
63,3646506,49-68-macarthur-street-Parramatta-NSW-2150
64,68494,48-5-griffiths-street-Blacktown-NSW-2148
65,3518536,90-bungaree-road-Toongabbie-NSW-2146
