,id,gnaf_address_id,street,suburb,postcode,state_code,latitude,longitude,type,land_sqm,bed,bath,car,floorplan,Unnamed: 0,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Picture,Blob,Street_Numb,Street_Name,Street_Suff
4,216227,43622,26 Australorp Avenue,Seven Hills,2147,NSW,-33.782587,150.929551,house,450,1,1,1,TRUE,4,3,1,1,449,"$670,000",Private Sale            ,Private Sale            ,May-96,Jun-92,"$159,000","$152,500",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/zm1OcWwlm4hw1XjdZWS5HDGft2Y9SXRN905RO2qw0sk1/26-australorp-avenue-seven-hills-nsw-2147_img0.jpg,"26 Australorp Avenue is a house in Seven Hills with 3 bedrooms and 1 bathroom. Its postcode is 2147. Its land area is 449 square metres. In May 1996 this property sold for $159,000. ",26,Australorp,Avenue
5,4060929,45824,7 Marampo Street,Marayong,2148,NSW,-33.7455,150.88489,house,,1,1,3,FALSE,5,3,1,3,552,"$572,333",Auction            , ,Jun-09, ,"$350,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/ZfCKkRegPTf-OpH5x3tl1I72uSrcciE-D0Sf4lD3KbM1/7-marampo-street-marayong-nsw-2148_img0.jpg,"7 Marampo Street is a house in Marayong with 3 bedrooms and 1 bathroom. Its postcode is 2148. This property is on a 552 square metre block of land. Our records show that this was last sold in 2009 for $350,000. ",7,Marampo,Street
7,68378,75889,26 Dan Avenue,Blacktown,2148,NSW,-33.76273,150.89552,house,625,5,2,4,TRUE,7,5,2,4,625,"$808,333",Private Sale            ,Private Sale            ,May-09,Mar-01,"$160,000","$210,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jQVEpuTfZNl14fR4QPxNi3GJln6U-yhDZzMtpZm5ZAo1/26-dan-avenue-blacktown-nsw-2148_img0.jpg,"26 Dan Avenue is a house in Blacktown with 5 bedrooms and 2 bathrooms. Its postcode is 2148. This property is on a 625 square metre block of land. In May 2009 this sold for $160,000. ",26,Dan,Avenue
9,3932768,82943,22 Larra Crescent,North Rocks,2151,NSW,-33.761289,151.012126,house,,3,3,2,TRUE,9,4,3,2,764,"$1,055,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/DtM11z8DZeXhX-ORw8C709Wy8SpcbtO-xyKYXioyZuM1/22-larra-crescent-north-rocks-nsw-2151_img0.jpg,"22 Larra Crescent, North Rocks 2151 NSW is a house. It has 4 bedrooms and 3 bathrooms. The land area of this property is 764 square metres. ",22,Larra,Crescent
16,4060223,184174,5 Eta Street,Blacktown,2148,NSW,-33.778847,150.89609,house,550,1,1,2,TRUE,16,2,1,2,552,"$573,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/U-NZiEel-ZwMBEXSkeZVv_PsZBlDo4sQIMmQdwR0gfQ1/5-eta-street-blacktown-nsw-2148_img0.jpg,"5 Eta Street, Blacktown 2148 NSW is a house. It has 3 bedrooms and 1 bathroom. The block size is 552 sqm. According to our records, this last sold for $300,000 in July 2009. ",5,Eta,Street
17,3155491,187457,29 Allambie Avenue,Northmead,2152,NSW,-33.785951,150.989849,house,923,1,1,0,TRUE,17,3,1,1,922,"$925,000", ,Auction            , ,May-15, ,"$1,250,000",https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/CL-QdW8SFTQsUcWm-js_4HPZYxGs7uD_GZ8jmP-fBAY1/29-allambie-avenue-northmead-nsw-2152_img0.jpg,"This is a house in Northmead with 3 bedrooms and 1 bathroom. Its postcode is 2152. This is on a 922 square metre block of land. The last time this property sold was in May 2015 for $1,250,000. ",29,Allambie,Avenue
22,2564548,224527,19 Botany Boulevard,Seven Hills,2147,NSW,-33.758825,150.944432,house,551,3,3,3,TRUE,22,5,3,3,581,"$1,052,667", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/FZftEOuto07KJIpVs3taAmS-tKiwMguc5Ld9Np47Xwc1/19-botany-boulevard-seven-hills-nsw-2147_img0.jpg,"19 Botany Boulevard, Seven Hills 2147 NSW is a house. It has 5 bedrooms and 3 bathrooms. The block size is 581 sqm. ",19,Botany,Boulevard
30,124434,310346,69 Breakfast Road,Marayong,2148,NSW,-33.75115,150.888151,house,600,1,1,4,TRUE,30,3,1,2,0,"$607,333", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/bjPXLVccIdvalV6SadnnqxdcMtWL2HfdsjY_a_yFbLM1/69-breakfast-road-marayong-nsw-2148_img0.jpg,The land area is 610 square metres. ,69,Breakfast,Road
38,37143,387213,11A Regal Avenue,Kings Langley,2147,NSW,-33.749492,150.927701,house,,2,2,1,TRUE,38,4,2,1,702,"$944,167", , , , , , ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/jGULz1Vz92I87X1076TBqUxqgx7P3qDfkfXwQ_iGTvc1/11a-regal-avenue-kings-langley-nsw-2147_img0.jpg,"11A Regal Avenue, Kings Langley 2147 NSW is a house with a tile roof. This property has 4 bedrooms and 2 bathrooms. Last time it sold, it went for $785,000, which was in 2018. ",11A,Regal,Avenue
43,1389691,439537,68 Whitby Road,Kings Langley,2147,NSW,-33.748868,150.938639,house,714,2,2,6,TRUE,43,4,2,6,724,"$856,667",Private Sale            , ,Dec-11, ,"$555,000", ,https://s3-ap-southeast-2.amazonaws.com/view-property-360-images/1F6YVw_Gma-U7AeJsMNFi7HYo0vb0pnuw0dzM7ZBVPw1/68-whitby-road-kings-langley-nsw-2147_img0.jpg,"68 Whitby Road, Kings Langley 2147 NSW is a house. This property has 4 bedrooms and 2 bathrooms. Its block size is 724 sqm. It was last sold in 2011 for $555,000. ",68,Whitby,Road
