,id,Beds,Baths,Car,Lot,Valuation,SateType1,SaleType2,DateSold1,DateSold2,SoldPrice1,SoldPrice2,Blob
0,28723,4,1,1,567,"$729,333",Private Sale            , ,Sep 2015            , ,"$730,000            ", ,"1 Kauai Place, Kings Park 2148 NSW is a house. It has 4 bedrooms and 1 bathroom. The land area of this property is 559 square metres. Last time it sold, it went for $730,000, which was in September 2015. "
1,28724,2,1,1,0, , , , , , , ,"2/53 Cobham Street, Kings Park 2148 NSW is a unit. It has 2 bedrooms and 1 bathroom. The last sold price we have on record for this property is $126,000 which is from June 1998. "
2,28725,5,3,2,576,"$895,000", ,Private Sale            , ,Oct 1994            , ,"$175,000            ","181 Madagascar Drive, Kings Park 2148 NSW is a house. This property has 5 bedrooms and 3 bathrooms. The land area is 558 square metres. In October 1994 this home sold for $175,000. "
3,28726,4,1,2,554,"$732,667",Private Sale            ,Private Sale            ,Jun 2014            ,Mar 2010            ,"$570,000            ","$425,000            ","91 Faulkland Crescent, Kings Park 2148 NSW is a house with 4 bedrooms and 1 bathroom. The block size of this property is 559 square metres. According to our data, this last sold for $570,000 in June 2014. "
4,28727,4,2,2,0, , , , , , , ,"This is a house in Kings Park with 4 bedrooms and 2 bathrooms. Its postcode is 2148. It is on a block of land that is 554 square metres. The last sold price we have on record for 3 Lana Close Kings Park is $320,000 which is from October 2000. "
5,28729,3,1,2,550,"$681,667",Private Sale            ,Private Sale            ,Mar 2010            ,Oct 2003            ,"$418,000            ","$376,000            ","This is a house in Kings Park, 2148 with 3 bedrooms and 1 bathroom. Its block size is 559 sqm. This house previously sold for $418,000 in March 2010. "
6,68248,1,1,1,0, ,Private Sale            ,Auction            ,Sep 2014            ,Aug 2012            ,"$298,000            ","$205,000            ","This is a unit in Blacktown, 2148 with 1 bedroom and 1 bathroom. The last sold price we have on record for 2/21-29 Third Avenue is $298,000 which is from September 2014. "
7,68250,3,2,2,0, , , , , , , ,"This is a unit in Blacktown with 3 bedrooms and 2 bathrooms. Its postcode is 2148. This unit previously sold for $410,000 in March 2013. "
8,68251,4,1,2,525,"$676,000",Auction            , ,Jun 2018            , ,"$735,000            ", ,"6 Ironbark Crescent, Blacktown 2148 NSW is a house. It has 4 bedrooms and 1 bathroom. The block size of this property is 525 sqm. According to our records, this was last sold for $735,000 in June 2018. "
9,68252,2,2,1,564,"$624,667", , , , , , ,"16 Glamorgan Street is a house in Blacktown with 2 bedrooms and 2 bathrooms. Its postcode is 2148. It is on a block of land that is 564 sqm. According to our records, this last sold for $290,000 in February 2003. "
10,68258,0,0,0,553,"$555,000", , , , , , ,"This is a house in Blacktown, 2148 with 4 bedrooms and 1 bathroom. The block size of this property is 553 square metres. "
11,68260,3,1,1,591, ,Private Sale            , ,Aug 2018            , ,"$640,000            ", ,"17 Dagmar Crescent is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. Its land area is 591 square metres. Last time it sold was for $640,000, which was in August 2018. "
12,68262,5,3,3,888,"$1,102,333",Auction            ,Private Sale            ,Jul 2018            ,Jul 1997            ,"$1,381,000            ","$139,500            ","31 Filey Street is a house in Blacktown with 5 bedrooms and 3 bathrooms. Its postcode is 2148. Its block size is 854 sqm. It was last sold in July 2018 for $1,381,000. "
13,68263,3,1,2,1759, ,Private Sale            , ,Jul 2018            , ,"$710,000            ", ,"28 Bimbil Street, Blacktown 2148 NSW is a house. It has 3 bedrooms and 1 bathroom. This property is on a 1759 sqm block of land. According to our records, this last sold for $710,000 in July 2018. "
14,68267,3,1,1,1017,"$641,667", ,Private Sale            , ,Aug 2016            , ,"$775,000            ","This is a house in Blacktown, 2148 with 3 bedrooms and 1 bathroom. This property is on a 1017 square metre block of land. 129 Stephen Street last sold for $775,000 in 2016. "
15,68272,3,2,3,0, , , , , , , ,"72A/177A Reservoir Road, Blacktown 2148 NSW is a unit. It has 3 bedrooms and 2 bathrooms. "
16,68273,6,3,3,544, , ,Private Sale            , ,Apr 1998            , ,"$96,900            ","27 Farmingdale Drive, Blacktown 2148 NSW is a house. This property has 6 bedrooms and 3 bathrooms. Its block size is 544 sqm. The last time this property sold was in 1998 for $96,900. "
17,68274,5,2,2,532,"$848,333",Private Sale            ,Private Sale            ,Jun 2018            ,Oct 1998            ,"$922,000            ","$110,900            ","This is a house in Blacktown with 5 bedrooms and 2 bathrooms. Its postcode is 2148. This property is on a 532 sqm block of land. Last time it sold was for $922,000, which was in 2018. "
18,68275,3,1,1,599,"$611,000",Private Sale            ,Private Sale            ,Jul 2018            ,May 2009            ,"$627,500            ","$309,000            ","This is a house in Blacktown with 3 bedrooms and 1 bathroom. Its postcode is 2148. The size of this block is 599 sqm. The last sold price we have on record for 34 Bellevue Street is $627,500 which is from July 2018. "
