,a
0,"28722,72-madagascar-drive-Kings-Park-NSW-2148"
1,"28723,1-kauai-place-Kings-Park-NSW-2148"
2,"28724,2-53-cobham-street-Kings-Park-NSW-2148"
3,"28725,181-madagascar-drive-Kings-Park-NSW-2148"
4,"28726,91-faulkland-crescent-Kings-Park-NSW-2148"
5,"28727,3-lana-close-Kings-Park-NSW-2148"
6,"28729,28-wellesley-crescent-Kings-Park-NSW-2148"
7,"68248,2-21-29-third-avenue-Blacktown-NSW-2148"
8,"68250,28-2-bruce-street-Blacktown-NSW-2148"
9,"68251,6-ironbark-crescent-Blacktown-NSW-2148"
10,"68252,16-glamorgan-street-Blacktown-NSW-2148"
11,"68258,29-kurrajong-crescent-Blacktown-NSW-2148"
12,"68260,17-dagmar-crescent-Blacktown-NSW-2148"
13,"68262,31-filey-street-Blacktown-NSW-2148"
14,"68263,28-bimbil-street-Blacktown-NSW-2148"
15,"68267,129-stephen-street-Blacktown-NSW-2148"
16,"68272,72a-177a-reservoir-road-Blacktown-NSW-2148"
17,"68273,27-farmingdale-drive-Blacktown-NSW-2148"
18,"68274,12-gardenset-grove-Blacktown-NSW-2148"
19,"68275,34-bellevue-street-Blacktown-NSW-2148"
20,"68276,40-anthony-street-Blacktown-NSW-2148"
21,"68277,43-dunstable-road-Blacktown-NSW-2148"
22,"68278,42-buckley-avenue-Blacktown-NSW-2148"
23,"68279,7-caldwell-place-Blacktown-NSW-2148"
24,"68286,6-craiglea-street-Blacktown-NSW-2148"
25,"68292,21-newman-street-Blacktown-NSW-2148"
26,"68294,23-brickfield-place-Blacktown-NSW-2148"
27,"68295,64-21-29-third-avenue-Blacktown-NSW-2148"
28,"68296,16-nicholas-street-Blacktown-NSW-2148"
29,"68301,51-burdett-crescent-Blacktown-NSW-2148"
30,"68308,2-railway-parade-Blacktown-NSW-2148"
31,"68309,1-malouf-place-Blacktown-NSW-2148"
32,"68311,8-huegill-way-Blacktown-NSW-2148"
33,"68312,10-warrigal-street-Blacktown-NSW-2148"
