,title,description,advertiser,date,salary,worktype,classificaiton,sub_classificaiton,city,suburb,link,category
0,"Project Officer, Data Linkage (Data Science)",, this company,1 Mar 2019,,Full Time,Science & Technology,Science & Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38473593?type=promoted&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
1,Web Analytics Manager,, this company,13 Feb 2019,,Full Time,Marketing & Communications,Marketing & Communications,Melbourne,Melbourne,https://www.seek.com.au/job/38337813?type=promoted&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
2,Data Scientist Consultant,"
Join one of Australia's leading technology professional services firm. We are looking for outstanding Data Scientists to join our team.   
The opportunity  
This is a great opportunity for a Data Science Consultant to join a consulting firm that offers a variety of projects and a structured learning and development path. You will work alongside a talented team of consultants who all share your passion
          in building great solutions and learning new skills.
About you
Skills in Data Science and Machine Learning: as a data science consultant you will have proficiency in one or more of Python, R, Scala, Matlab/Octave, Java, C/C++, Go, Javascript, Clojure etc. You will also have either hands
          on experience or good knowledge of the one of the following concepts such as supervised learning, unsupervised learning, reinforcement learning, deep learning, feature engineering, natural language processing, computer vision, signal processing
          etc. Other skills and experience that will be highly regarded are the likes of big data ecosystem technologies (e.g. Spark, Kafka), deep learning frameworks (e.g. TensorFlow, PyTorch, Keras), application and system engineering technologies (Kubernetes,
          Docker etc). Any experience with AWS, Google Cloud Platform or Azure is highly desirable but not mandatory
A desire to learn emerging technologies in Data and Analytics: you have a desire to learn and acquire new skills including deep learning, big data technologies, high performance computing infrastructure etc.
Team player: you like being part of high performing teams and like sharing your knowledge with your peers 
About Servian
We are a professional services firm that puts our people at the heart of our strategy. We help customers challenge status quo by working with them on implementing new and emerging technologies whilst enabling our consultants to continue to learn
          and acquire new skills.
Our business is structured across 5 key practices:

Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics
Customer Engagement - Marketing Campaigns, Campaign Analysis, Customer Insights
Digital - Full stack Development, UI/UX Design, Mobile Development
Artificial Intelligence - Natural Language Processing, Computer Vision, Machine Learning
Cloud & Technology - Cloud Services (AWS, Azure, Google Cloud Platform), Managed Services

What you can expect:

Learning & Development: As a naturally curious individual, you will have many opportunities to develop your technical and consulting skills. We run internal training on a weekly basis (knowledge sharing sessions, focus groups
            and our own Toastmasters Club!) as well as encourage and sponsor certifications.
Variety of projects: As a consultant, you will have the opportunity to work across multiple projects across our client base significantly increasing your skills and exposure in the industry.
Career progression: As a consulting firm, our leadership team is continually looking for technologists who want to develop their careers as people leaders and as senior advisors. You will have an opportunity to build your consulting
            skills as part of our team.

 
If this is you, please send us your CV and a cover letter outlining how you meet our selection criteria for your application to be considered.
", this company,12 Mar 2019,,Full Time,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38549522?type=standout&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
3,DATA SCIENCE DEVELOPER,, this company,11 Mar 2019,,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Perth,Perth,https://www.seek.com.au/job/38547195?type=standard&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
4,Data Scientist - Unstructured data modelling,"Talent International is working in partnership with a major federal government organisation to assist in sourcing a Data Scientist on contract based in Sydney CBD.Working within a team of other data scientists the successful applicant will
        develop analytical solutions to deliver transformative technical projects which provide significant business.The work involves unstructured data modelling to identify risk themes and topics from vast document collections, text mining, image
        classification and automation. Key duties of the role will include
        
Work with a cross functional team of analysts, report developers and engineers to move Proof-of-Concept models/products to production for clients 
Utilise complex analytic techniques and experimental methods independently to develop technological solutions to achieve business outcomes, using computational methods to discover data patterns and to develop classification, prediction and optimisation
            models 
Manipulate and analyse big data from disparate systems 
Apply in depth knowledge in forecasting, statistics, econometric modelling, linear programming and other optimisation algorithms and quantitative techniques, strong data cleansing skills and experience in devising testing methods 
Develop, enhance and maintain a range of mathematical models to monitor demand and analyse behaviour 
 In order to be considered we are seeking talented data scientists who meet the following criteria:
        
A proficient and well-defined knowledge of SQL and, either R, or, Python statistical programming languages.
An ability to work with datasets of all types and formats specifically images and unstructured text. An understanding of data scales and sizes and related techniques, risks and impacts. 
Experience with Hadoop/Spark, Solr, Tika, Tesseract, Hive, Impala, TensorFlow, D3JS, R Shiny, Superset. 
Australian Citizenship is MANDATORY in order to be considered. For immediate consideration please forward a copy of your current resume via the APPLY NOW button or email Patrick at Talent International on patricko@talentinternational.com.auFor
        further queries please call (02) 9223 9855. ", this company,6 Mar 2019,$ excellent rate,Contract/Temp,Science & Technology,Science & Technology,Sydney,Sydney,https://www.seek.com.au/job/38508350?type=standout&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
5,Data Science Consultant,"
About The CompanyTop provider of consulting and technology services! Join an advanced team spanning across Adelaie, Melbourne and Sydney that will provide a diverse range of clients. This company creates and delivers
            business, technology and digital solutions that fit clients needs, enabling them to achieve innovation and a competitive edge in the market. 
The team is high performing and managed by a reputable leader in the Data Science industry so you will learn from the very best! There is a great team culture and they care about their employees and invest in their professional develoment.
About The Role

Build predictive models and machine-learning algorithms
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Analyse large amounts of information to discover trends and patterns
Collaborate with engineering and product development teams

Experience Required

3-10+ years experience working as a Data Scientist
Clear ability to communicate and consult to various types of stakeholders/clients
Experience in data mining, statistical methods, machine-learning and operations research
Strong commercially applied experience in R, SQL and Python
Proven experience working with big data platforms like Hadoop, Spark, Hive or similar
An analytical mind, business acumen, strong math skills (e.g. statistics, algebra) and problem-solving aptitude
University degree in Maths or Stats or Engineering or Computer Science or any quantitative field 

 
Please APPLY NOW with a Word version of your resume.
For further information call Emily Nota on 02 8246 7711.
", this company,6 Mar 2019,$90k - $180k p.a.,Full Time,Consulting & Strategy,Consulting & Strategy,Sydney,Sydney,https://www.seek.com.au/job/38514752?type=standout&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
6,Senior Project Coordinator (Data Science Projects),"
Sydney CBD based role 6 month contract + possible extensionsLarge organisation and one of the top brands to work for is looking for a Project Coordinator with strong project scheduling experience to
            be a part of their dynamic team.This is an initial 6 month contract duration with possible extensions to be based in Sydney's CBD.The Project Coordinator is
            responsible for providing coordination services along with scheduling in order to support time, cost and quality objectives of the overall project.You will manage and maintain the key stream dependencies,
            gathering schedule changes and progress from various stakeholders.This role needs a candidate who has excellent communication skills, pleasant personality, very outgoing, has the right attitude, willing and has the ability to learn,
            is proactive, can work with the leads, can talk to people around and get information, take things from as-is and build upon them and someone with conceptual knowledge.Responsibilities:

Creation, management and maintenance of the program schedule.
Working with key internal and external stakeholders to gather schedule changes and progress, implementing those changes within the schedule.
Highlighting when needed variances and/or trends.
Contribute to schedule analysis and identification of critical forthcoming items.
Contribute to corresponding reporting by having part of overall progress responsibility.
Suggest schedule improvements / workarounds and solutions to overcome potential problems.
Plus such duties as may be reasonably required by the company from time to time.
 Qualifications:

Advanced experience in MS Project.
 Experience:Essential:

Proficiency in project scheduling, managing and maintaining schedules using MS Project.
Experience of applying best practices in project scheduling.
Experience of creating schedules from scratch.
Experience in a project management office domain.
 Knowledge and Skills:Essential:

Proven level of autonomy, works under general direction within a clear framework of accountability and plans own work to meet given objectives and processes.
Highly analytical.
Detailed orientated person.
Adaptable to change.


", this company,12 Mar 2019,Excellent Daily Rates - Long term contract,Contract/Temp,Information & Communication Technology,Information & Communication Technology,Sydney,Sydney,https://www.seek.com.au/job/38551383?type=standout&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
7,Data Science and Analytics Graduate,"
Who are we? REA Group is one of the world’s largest property and lifestyle media companies. Best known in Australia for realestate.com.au, the market-leading property site and app, we’re also a fast-growing global business
          spanning three regions. People use our sites and apps when finding a place to rent or buy (a home, co-work space or commercial property), as well as for property data, news, financial services, inspiration, renovation ideas, and to better understand
          their neighbourhoods and the property market. From our humble beginnings in a Melbourne garage more than 20 years ago, to a global company helping reimagine digital property experiences; we have played a key role in shaping the entire
          digital sector in Australia, especially through the talented people we have nurtured, and continue to develop. Our purpose is to empower people by making property simple, efficient and stress-free and this is at the heart of everything
          we do. We are a fast-paced, dynamic organisation where knowledge, collaboration, connection and creativity are the currency. We believe our competitive advantage comes from engaging the passion and creativity of each and every one of our employees  If you ask our people why they love REA, you’ll hear phrases like: “love what I do”, “people before process”, “I can be myself”, “it’s ok to speak up” and “they’ve got my back”.  What’s on offer? To continue
          to be an awesome company, we need great people to bring our purpose to life by delivering cutting edge products across all our websites and mobile apps. We are looking for talented grads wanting to make the impossible possible.  Our
          Data Science and Analytics program will immerse you in the full cycle of how we use technology to become more responsive to our customer needs. You will gain exposure to identifying and converting raw data into highly scalable data sets. Alongside
          how we conduct modelling & profiling analysis to develop appropriate models to predict the behaviour, usage patterns and trends of our consumers.  Supporting all your technical development is our Grad Learning Roadmap which includes
          topics on feedback, communication and influencing available through online learning and face to face courses.  Our range of benefits ensure we hire and retain great talent: 

Quarterly Inventorship Days so you can bring your ideas to life.
A day off for volunteer leave, to ensure you have the opportunity to give back to your community.
An Employee Community Grants program to show you that we care about your community just as much as you do.
Birthday leave. That’s right, you should be able to celebrate that special day off every year.
Onsite health and wellbeing programs, including boxing, yoga and meditation classes, a relaxation pod and weekly massages.

What we are looking for? If you want to ask and answer the big questions, we are looking for: 

Someone who can apply deep analytical thinking to solve complex problems
You have innate curiosity and a love of learning
You are driven to do something that is both cool and which actually makes a difference- i.e. get that product shipped!
A Computer Science, IT, mathematical or numerate degree.
You'll need to have your Full Australian Working Rights in advance of the Program start date

The application process Once you have submit your application, we’ll be all hands on deck reviewing what you have sent us. Our process includes: 

Application and resume screening,
Gamified cognitive testing,
Video interviewing,
Assessment day where we will conduct technical and cultural fit interviews.

  Please submit your application and resume by 1st April 2019. 
", this company,26 Feb 2019,,Full Time,Information & Communication Technology,Information & Communication Technology,Melbourne,Melbourne,https://www.seek.com.au/job/38444083?type=standout&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
8,Lecturer/Senior Lecturer in Data Science and Innovation,"
Our vision is to be a leading public university of technology recognised for our global impact. We are a dynamic and innovative university, ranked by the Times Higher Education as Australia's top young university, and located centrally in
              one of the world's most liveable cities. With a culturally diverse campus life and extensive international exchange and research programs, UTS prepares graduates for the workplaces of today and tomorrow. 
About the Faculty
As we move into a new world of work, there is a pressing demand for professionals who can take a transdisciplinary approach to solving problems, creating solutions, and identifying opportunities that would otherwise go untapped.
In the UTS Faculty of Transdisciplinary Innovation (FTDI), we're focused on producing graduates who can deliver creative, entrepreneurial and highly collaborative solutions. Our courses are about building expertise that's unhindered by traditional
              discipline boundaries. We have a vision to advance learning beyond professional silos, to push boundaries and to explore the role of transdisciplinarity in creating new solutions for a future world.
To do this, we offer a unique style of learning that emphasises collaboration acrossdisciplines. It's based on extensive research into the future economy, and shaped by the input of our industry partners, who play an active role in developing
              our courses.
For more information on what Transdisciplinary Innovation means to us visit our website. 
About the role
In this role you will contribute to learning and teaching, research and engagement activities in the Faculty of Transdisciplinary Innovation. You will collaborate across the faculty and wider university to design and develop innovative educational
              experiences, lead research that is addressing complex real-world issues and engage with the Faculty's extensive industry and partner network. The primary focus will be supporting the Master of Data Science and Innovation, but opportunities
              to support other degree programs is also negotiable.
About you
To be successful in securing this opportunity you will have:

PhD or equivalent in a data science related domain with a knowledge of transdisciplinary educational and industry practice. Applicants with extensive industry experience are encouraged to apply.
Demonstrated capacity in learner focused curriculum development, including:
Development and delivery of innovative learning experiences in the data science domain
A track record of scholarship, impact and excellence in research, relative to opportunity and level of appointment sought. This may include:- academic publications- industry project outcomes- competitive external funding-
                successful PhD supervision- or others forms of professional practice
A strong track record in forging effective and productive collaborations with key internal and external stakeholders, both locally and internationally
Excellent communication, management, leadership and mentoring skill

We look forward to receiving your application.
Remuneration
Base Salary Range: $102,952AUD to $143,725AUD pa (Level B/C)
This role attracts 17% superannuation (pension) in addition to the base salary.
This position is full-time and appointment will be made on a continuing basis.
How To Apply
You are required to submit the following with your application
- a cover letter (maximum one page) indicating the role level you are applying for- a limited CV (no more than 5 pages) plus an ORCID or equivalent- a response to question 1), and a response to question 2a) OR 2b).
              Maximum 500 word response to each question.
1) Describe how you apply transdisciplinarity in your professional practice (e.g. Industry, academic, teaching, research)
2a) Scenario: You're given the opportunity to design a subject in the Transdisciplinary space. Describe the subject with reference to the Subject Learning Outcomes and assessments you would design.
2b) Scenario: The university has allocated strategic funding for a new, 3-year transdisciplinary research project. What is your proposal and how would you implement this?
For the full list of the selection criteria and role responsibilities please click the apply link and download the Position Statement from the UTS website.
Only those applications submitted via the UTS online recruitment system will be accepted.  Current UTS employees should apply through their UTS Employee Self Service function.
As you will be unable to save your application once started, please have all required documents and information available prior to commencing.
Please ensure that the file name for each document submitted includes IRC125504.
Specific enquiries or issues with your application may be directed to the UTS Recruitment Team at recruitment@uts.edu.au or on +61 (0) 2 9514 1080.
Please be advised that as part of the selection process that you may be requested to deliver a presentation, the audience for which may include individuals not on the Selection Panel.
Closing Date: Wednesday 3rd of April 2019 at 11.59pm (AEST)
Applicants must have current and valid work rights in Australia.
Please note: If you have a disability that requires adjustment to the recruitment process or an alternative application pathway please contact recruitment@uts.edu.au for assistance
At UTS, the concepts of equity and social justice are key to our core and purpose - we are recognised widely as supporting inclusivity and valuing diversity through our Wingara Indigenous Employment Strategy, Social Impact Framework and UTS Access and Inclusion Plan. 
Cited as a WGEA Employer of Choice since the inception of the award, we are now among the first Australian institutions to receive the Athena SWAN Bronze Accreditation for our commitment to action addressing gender equity in the STEMM disciplines.
We welcome applications from women, Indigenous Australians, people with disability, those who identify as LGBTIQ and applicants from culturally and linguistically diverse backgrounds. ", this company,7 Mar 2019,,Full Time,Education & Training,Education & Training,Sydney,Sydney,https://www.seek.com.au/job/38520969?type=standard&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
9,Lecturer/Senior Lecturer in Data Science and Innovation,"
Our vision is to be a leading public university of technology recognised for our global impact. We are a dynamic and innovative university, ranked by the Times Higher Education as Australia's top young university, and located centrally in
              one of the world's most liveable cities. With a culturally diverse campus life and extensive international exchange and research programs, UTS prepares graduates for the workplaces of today and tomorrow. 
About the Faculty
As we move into a new world of work, there is a pressing demand for professionals who can take a transdisciplinary approach to solving problems, creating solutions, and identifying opportunities that would otherwise go untapped.
In the UTS Faculty of Transdisciplinary Innovation (FTDI), we're focused on producing graduates who can deliver creative, entrepreneurial and highly collaborative solutions. Our courses are about building expertise that's unhindered by traditional
              discipline boundaries. We have a vision to advance learning beyond professional silos, to push boundaries and to explore the role of transdisciplinarity in creating new solutions for a future world.
To do this, we offer a unique style of learning that emphasises collaboration acrossdisciplines. It's based on extensive research into the future economy, and shaped by the input of our industry partners, who play an active role in developing
              our courses.
For more information on what Transdisciplinary Innovation means to us visit our website. 
About the role
In this role you will contribute to learning and teaching, research and engagement activities in the Faculty of Transdisciplinary Innovation. You will collaborate across the faculty and wider university to design and develop innovative educational
              experiences, lead research that is addressing complex real-world issues and engage with the Faculty's extensive industry and partner network. The primary focus will be supporting the Master of Data Science and Innovation, but opportunities
              to support other degree programs is also negotiable.
About you
To be successful in securing this opportunity you will have:

PhD or equivalent in a data science related domain with a knowledge of transdisciplinary educational and industry practice. Applicants with extensive industry experience are encouraged to apply.
Demonstrated capacity in learner focused curriculum development, including:
Development and delivery of innovative learning experiences in the data science domain
A track record of scholarship, impact and excellence in research, relative to opportunity and level of appointment sought. This may include:- academic publications- industry project outcomes- competitive external funding-
                successful PhD supervision- or others forms of professional practice
A strong track record in forging effective and productive collaborations with key internal and external stakeholders, both locally and internationally
Excellent communication, management, leadership and mentoring skill

We look forward to receiving your application.
Remuneration
Base Salary Range: $102,952AUD to $143,725AUD pa (Level B/C)
This role attracts 17% superannuation (pension) in addition to the base salary.
This position is full-time and appointment will be made on a continuing basis.
How To Apply
You are required to submit the following with your application
- a cover letter (maximum one page) indicating the role level you are applying for- a limited CV (no more than 5 pages) plus an ORCID or equivalent- a response to question 1), and a response to question 2a) OR 2b).
              Maximum 500 word response to each question.
1) Describe how you apply transdisciplinarity in your professional practice (e.g. Industry, academic, teaching, research)
2a) Scenario: You're given the opportunity to design a subject in the Transdisciplinary space. Describe the subject with reference to the Subject Learning Outcomes and assessments you would design.
2b) Scenario: The university has allocated strategic funding for a new, 3-year transdisciplinary research project. What is your proposal and how would you implement this?
For the full list of the selection criteria and role responsibilities please click the apply link and download the Position Statement from the UTS website.
Only those applications submitted via the UTS online recruitment system will be accepted.  Current UTS employees should apply through their UTS Employee Self Service function.
As you will be unable to save your application once started, please have all required documents and information available prior to commencing.
Please ensure that the file name for each document submitted includes IRC125504.
Specific enquiries or issues with your application may be directed to the UTS Recruitment Team at recruitment@uts.edu.au or on +61 (0) 2 9514 1080.
Please be advised that as part of the selection process that you may be requested to deliver a presentation, the audience for which may include individuals not on the Selection Panel.
Closing Date: Wednesday 3rd of April 2019 at 11.59pm (AEST)
Applicants must have current and valid work rights in Australia.
Please note: If you have a disability that requires adjustment to the recruitment process or an alternative application pathway please contact recruitment@uts.edu.au for assistance
At UTS, the concepts of equity and social justice are key to our core and purpose - we are recognised widely as supporting inclusivity and valuing diversity through our Wingara Indigenous Employment Strategy, Social Impact Framework and UTS Access and Inclusion Plan. 
Cited as a WGEA Employer of Choice since the inception of the award, we are now among the first Australian institutions to receive the Athena SWAN Bronze Accreditation for our commitment to action addressing gender equity in the STEMM disciplines.
We welcome applications from women, Indigenous Australians, people with disability, those who identify as LGBTIQ and applicants from culturally and linguistically diverse backgrounds. ", this company,7 Mar 2019,,Full Time,Education & Training,Education & Training,Sydney,Sydney,https://www.seek.com.au/job/38520968?type=standard&searchrequesttoken=039a7cbc-affd-4343-94f9-fdc88eb37885,Data-Science
